code,label,description,position,type
1,"Classe 1 — Provisions, avances, subventions et emprunts",,Passif,
10,PROVISIONS ET AVANCES,,Passif,
103,Avances,,Passif,
106,Provisions pour travaux,Provisions pour travaux au titre de la délégation de pouvoirs accordée au conseil syndical,Passif,
11,REPORT À NOUVEAU (SOLDE CRÉDITEUR OU DÉBITEUR),,Passif,
110,Report à nouveau (solde créditeur),,Passif,Résultat excédentaire 
119,Report à nouveau (solde débiteur),,Passif,Résultat déficitaire 
12,Solde en attente sur travaux et opérations exceptionnelles,,Passif,
121,Travaux décidés par l'assemblée générale,,Passif,
122,Travaux délégués au conseil syndical ,,Passif,
13,SUBVENTIONS,,Passif,
131, Subventions accordées en instance de versement,,Passif,
138,Autres subventions d’investissement ,,Passif,
139,Subventions d’investissement inscrites au compte de résultat,,Passif,
4,Classe 4 — COPROPRIÉTAIRES ET TIERS,,Actif ou passif,
40,Fournisseurs,,Actif ou passif,
42,Personnel,,Actif ou passif,
43,SÉCURITÉ SOCIALE &  AUTRES ORGANISMES SOCIAUX,,Passif,
431,Sécurité sociale,,Passif,
432,Autres organismes sociaux,,Passif,
44,ÉTAT ET COLLECTIVITÉS TERRITORIALES ,,Actif,
441,État et autres organismes - subventions à recevoir,,Actif,Tiers
442,État - impôts et versements assimilés,,Actif ou passif,Tiers
443,Collectivités territoriales – aides,,Actif ou passif,
45,COLLECTIVITÉ DES COPROPRIÉTAIRES,,Actif ou passif,
46,DÉBITEURS ET CRÉDITEUR DIVERS,,Actif ou passif,
47,COMPTES D'ATTENTE,,Actif ou passif,
471,Compte en attente d’imputation débiteur,,Actif ou passif,
472,Compte en attente d’imputation créditeur,,Actif ou passif,
48,COMPTES DE RÉGULARISATION,,Actif ou passif,
486,Charges payées d'avance,,Actif,Tiers
487,Produits encaissés d’avance,,Passif,Tiers
49,DÉPRÉCIATIONS DES COMPTES DE TIERS,,Actif ou passif,
491,Copropriétaires,,Passif,Tiers
496,Personnes autres que les copropriétaires,,Passif,Tiers
5,Classe 5 — Comptes financiers,,Actif,
50,FONDS PLACÉS,,Actif,
51,"Banques, ou fonds disponibles en banque pour le syndicat",,Actif,
5112,Chèques à encaisser,,Actif ou passif,Attente d'encaissement
5115,Paiements par carte à encaisser,,Actif ou passif,
512,Banques,,Actif ou passif,
